ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SH688069,sh688069,德林海,环保,环保,2026-09-09,38.53,2.3,2.75,5.13,0.29,3479061.0,6.0,uptrend7,6/8
SH688089,sh688089,ST嘉必优,食品,食品,2026-09-09,8.93,12.6,1.13,0.56,4.69,1712609.0,6.0,uptrend7,6/8
SH688097,sh688097,博众精工,专用设备,专用设备,2026-09-09,46.25,3.9,-1.34,-0.28,4.21,5566822.0,5.0,uptrend7,5/8
SH688090,sh688090,瑞松科技,专用设备,专用设备,2026-09-09,71.38,2.6,-4.3,-0.17,6.55,8484188.0,5.0,uptrend7,5/8
SH688105,sh688105,诺唯赞,生物医药,生物医药,2026-09-09,20.41,-13.5,-0.97,4.03,4.67,7854258.0,5.0,uptrend7,5/8
SH688112,sh688112,鼎阳科技,通用设备,通用设备,2026-09-09,71.13,37.9,1.88,2.24,10.09,4639667.0,6.0,uptrend7,6/8
SH688127,sh688127,蓝特光学,光电子器件,光电子器件,2026-09-09,71.11,6.9,6.28,3.19,10.85,12064575.0,8.0,uptrend7,8/8
SH688131,sh688131,皓元医药,化学制药,化学制药,2026-09-09,93.74,-0.4,-0.98,5.27,5.53,3185033.0,5.0,uptrend7,5/8
SH688139,sh688139,海尔生物,医疗器械,医疗器械,2026-09-09,32.18,11.7,-0.06,2.16,4.48,2684579.0,7.0,uptrend7,7/8
SH688132,sh688132,邦彦技术,通信设备,通信设备,2026-09-09,15.97,17.8,-2.44,-0.99,0.06,2037414.0,6.0,uptrend7,6/8
SH688135,sh688135,利扬芯片,半导体,半导体,2026-09-09,34.55,30.1,7.47,17.16,26.33,24377702.0,8.0,uptrend7,8/8
SH688156,sh688156,路德科技,畜牧业,畜牧业,2026-09-09,24.35,13.7,-2.6,2.74,10.58,6420358.0,6.0,uptrend7,6/8
SH688151,sh688151,华强科技,医疗器械,医疗器械,2026-09-09,16.96,0.1,3.04,3.86,1.92,6074541.0,5.0,uptrend7,5/8
SH688143,sh688143,长盈通,电子设备制造,电子设备制造,2026-09-09,174.2,47.6,3.69,-3.86,6.87,15096308.0,6.0,uptrend7,6/8
SH688166,sh688166,博瑞医药,化学制药,化学制药,2026-09-09,36.76,-9.1,-3.03,-1.32,5.66,10634326.0,6.0,uptrend7,6/8
SH688170,sh688170,德龙激光,电子设备制造,电子设备制造,2026-09-09,66.78,26.3,2.74,1.21,7.88,11538294.0,7.0,uptrend7,7/8
SH688176,sh688176,亚虹医药-U,生物医药,生物医药,2026-09-09,13.08,2.3,-3.82,-0.46,0.62,13249922.0,6.0,uptrend7,6/8
SH688161,sh688161,威高骨科,医疗器械,医疗器械,2026-09-09,22.32,-1.2,-0.4,-1.28,-0.36,1360636.0,6.0,uptrend7,6/8
SH688183,sh688183,生益电子,电子设备制造,电子设备制造,2026-09-09,128.53,14.9,1.56,-3.31,8.53,16633430.0,5.0,uptrend7,5/8
SH688195,sh688195,腾景科技,光电子器件,光电子器件,2026-09-09,203.12,29.0,0.31,-0.43,5.16,13859725.0,8.0,uptrend7,8/8
SH688167,sh688167,炬光科技,半导体,半导体,2026-09-09,302.55,23.2,0.14,-4.32,1.02,9264705.0,6.0,uptrend7,6/8
SH688181,sh688181,八亿时空,电子设备制造,电子设备制造,2026-09-09,40.39,0.8,7.02,3.3,10.2,12437190.0,7.0,uptrend7,7/8
SH688196,sh688196,卓越新能,化学制品,化学制品,2026-09-09,38.22,8.1,-2.92,8.03,7.42,3394843.0,6.0,uptrend7,6/8
SH688209,sh688209,英集芯,电子元件,电子元件,2026-09-09,33.92,54.0,1.89,0.92,-1.68,31839548.0,6.0,uptrend7,6/8
SH688207,sh688207,格灵深瞳,电子设备制造,电子设备制造,2026-09-09,19.05,-3.6,-1.7,3.53,10.76,16051621.0,7.0,uptrend7,7/8
SH688215,sh688215,瑞晟智能,专用设备,专用设备,2026-09-09,49.92,14.5,1.26,4.54,6.21,1202579.0,7.0,uptrend7,7/8
SH688203,sh688203,海正生材,合成纤维及树脂,合成纤维及树脂,2026-09-09,14.94,33.0,-3.98,-4.9,6.87,8210193.0,6.0,uptrend7,6/8
SH688205,sh688205,德科立,通信设备,通信设备,2026-09-09,223.3,51.9,5.33,4.33,15.1,19351076.0,8.0,uptrend7,8/8
SH688231,sh688231,隆达股份,金属非金属新材料,金属非金属新材料,2026-09-09,33.88,15.7,2.82,2.67,-0.35,3658224.0,5.0,uptrend7,5/8
SH688226,sh688226,威腾电气,输变电设备,输变电设备,2026-09-09,30.54,-4.1,8.26,5.67,7.54,9429796.0,5.0,uptrend7,5/8
SH688237,sh688237,超卓航科,航空航天装备,航空航天装备,2026-09-09,60.05,5.1,1.83,3.37,4.87,1566928.0,7.0,uptrend7,7/8
SH688248,sh688248,南网科技,输变电设备,输变电设备,2026-09-09,48.8,1.3,4.27,9.84,14.31,6207603.0,7.0,uptrend7,7/8
SH688259,sh688259,创耀科技,半导体,半导体,2026-09-09,31.62,1.6,1.35,0.38,0.7,1056429.0,5.0,uptrend7,5/8
SH688239,sh688239,航宇科技,航空航天装备,航空航天装备,2026-09-09,56.39,22.6,3.96,4.39,3.13,8036680.0,6.0,uptrend7,6/8
SH688267,sh688267,中触媒,化学制品,化学制品,2026-09-09,19.29,3.2,-1.88,-1.63,2.23,1831075.0,6.0,uptrend7,6/8
SH688289,sh688289,圣湘生物,生物医药,生物医药,2026-09-09,16.01,4.0,-1.17,0.88,0.19,3411924.0,6.0,uptrend7,6/8
SH688285,sh688285,高铁电气,基础建设,基础建设,2026-09-09,7.79,2.7,1.04,2.91,3.04,2238587.0,5.0,uptrend7,5/8
SH688281,sh688281,华秦科技,航空航天装备,航空航天装备,2026-09-09,51.7,8.5,1.75,3.96,0.39,3988406.0,6.0,uptrend7,6/8
