ticker,prefixed,name,sector,industry,date,close,chg20,chg1,chg2,chg3,volume,score,passed,uptrend7
SZ300106,sz300106,西部牧业,食品,食品,2026-09-10,11.76,16.0,-1.51,-2.81,-0.68,34501.0,5.0,uptrend7,5/8
SZ300135,sz300135,宝利国际,石油天然气,石油天然气,2026-09-10,3.99,20.5,6.97,10.22,13.68,544592.0,7.0,uptrend7,7/8
SZ300140,sz300140,节能环境,环保,环保,2026-09-10,5.49,0.7,-0.36,-0.72,1.1,23296.0,5.0,uptrend7,5/8
SZ300132,sz300132,诺斯贝尔,化学制品,化学制品,2026-09-10,6.52,-0.5,-2.83,-0.46,1.4,73247.0,6.0,uptrend7,6/8
SZ300147,sz300147,*ST香雪,中药生产,中药生产,2026-09-10,6.64,-10.9,-1.63,2.79,4.4,34130.0,6.0,uptrend7,6/8
SZ300144,sz300144,宋城演艺,休闲服务,休闲服务,2026-09-10,6.06,-0.7,-0.33,-1.62,-1.78,123078.0,5.0,uptrend7,5/8
SZ300157,sz300157,新锦动力,通用设备,通用设备,2026-09-10,4.15,0.2,0.0,-2.58,1.97,123089.0,5.0,uptrend7,5/8
SZ300148,sz300148,天舟文化,平面媒体,平面媒体,2026-09-10,3.64,3.4,-0.27,-4.21,-1.09,77016.0,7.0,uptrend7,7/8
SZ300153,sz300153,科泰电源,电源设备,电源设备,2026-09-10,25.68,13.8,-4.04,1.34,1.1,67078.0,7.0,uptrend7,7/8
SZ300151,sz300151,昌红科技,通用设备,通用设备,2026-09-10,16.58,2.7,-2.13,1.97,2.73,48086.0,5.0,uptrend7,5/8
SZ300164,sz300164,通源石油,石油天然气,石油天然气,2026-09-10,11.15,2.6,0.81,-1.15,6.9,728927.0,7.0,uptrend7,7/8
SZ300160,sz300160,秀强股份,玻璃,玻璃,2026-09-10,4.57,4.6,-1.08,0.44,1.56,15833.0,6.0,uptrend7,6/8
SZ300163,sz300163,先锋新材,纺织,纺织,2026-09-10,7.85,18.6,-0.38,0.64,3.15,82594.0,6.0,uptrend7,6/8
SZ300179,sz300179,四方达,金属非金属新材料,金属非金属新材料,2026-09-10,40.6,12.9,-4.02,3.02,5.21,235399.0,6.0,uptrend7,6/8
SZ300189,sz300189,神农种业,农业,农业,2026-09-10,7.55,57.0,-2.96,-1.69,-2.2,979325.0,5.0,uptrend7,5/8
SZ300185,sz300185,通裕重工,通用设备,通用设备,2026-09-10,2.79,0.4,0.36,1.45,2.95,254809.0,7.0,uptrend7,7/8
SZ300190,sz300190,维尔利,环保,环保,2026-09-10,4.07,7.1,-0.97,-0.97,-2.4,27079.0,5.0,uptrend7,5/8
SZ300197,sz300197,节能铁汉,建筑施工,建筑施工,2026-09-10,2.11,-7.5,0.96,-1.86,3.94,296964.0,6.0,uptrend7,6/8
SZ300196,sz300196,长海股份,合成纤维及树脂,合成纤维及树脂,2026-09-10,17.36,-2.7,2.6,3.93,4.12,58052.0,5.0,uptrend7,5/8
SZ300198,sz300198,*ST纳川,专用设备,专用设备,2026-09-10,2.45,11.4,-0.41,1.24,0.82,15755.0,6.0,uptrend7,6/8
SZ300207,sz300207,欣旺达,电子设备制造,电子设备制造,2026-09-10,17.33,-6.4,-0.69,0.99,1.05,90023.0,5.0,uptrend7,5/8
SZ300212,sz300212,*ST易录,计算机软件,计算机软件,2026-09-10,8.43,-5.2,1.57,3.31,3.06,24225.0,6.0,uptrend7,6/8
SZ300213,sz300213,佳讯飞鸿,通信设备,通信设备,2026-09-10,6.56,-0.5,-0.76,-0.15,0.92,16038.0,6.0,uptrend7,6/8
SZ300225,sz300225,金力泰,化学制品,化学制品,2026-09-10,8.06,10.3,-0.25,0.12,-0.62,30439.0,6.0,uptrend7,6/8
SZ300221,sz300221,银禧科技,化学制品,化学制品,2026-09-10,13.83,1.5,0.0,-0.65,1.1,32489.0,5.0,uptrend7,5/8
SZ300227,sz300227,光韵达,电子元件,电子元件,2026-09-10,14.08,22.4,-1.74,0.93,3.76,60018.0,6.0,uptrend7,6/8
SZ300240,sz300240,飞力达,物流,物流,2026-09-10,6.24,9.5,-0.48,-0.32,0.97,15125.0,5.0,uptrend7,5/8
SZ300235,sz300235,方直科技,计算机软件,计算机软件,2026-09-10,11.88,3.5,6.36,3.57,3.3,47997.0,5.0,uptrend7,5/8
SZ300237,sz300237,ST美晨,汽车,汽车,2026-09-10,2.38,17.8,2.15,0.85,3.03,71586.0,7.0,uptrend7,7/8
SZ300252,sz300252,金信诺,通信设备,通信设备,2026-09-10,12.5,7.1,-1.88,0.89,2.54,138000.0,7.0,uptrend7,7/8
SZ300261,sz300261,雅本化学,化肥农药,化肥农药,2026-09-10,5.22,-1.1,-1.69,-2.97,5.88,79015.0,6.0,uptrend7,6/8
SZ300266,sz300266,兴源环境,专用设备,专用设备,2026-09-10,2.03,4.1,-0.98,-1.93,0.5,73208.0,8.0,uptrend7,8/8
SZ300292,sz300292,吴通控股,通信设备,通信设备,2026-09-10,4.41,3.0,0.46,0.68,3.04,126193.0,6.0,uptrend7,6/8
SZ300290,sz300290,ST荣科,计算机软件,计算机软件,2026-09-10,6.85,12.3,11.02,11.38,26.62,324971.0,7.0,uptrend7,7/8
SZ300300,sz300300,海峡创新,计算机软件,计算机软件,2026-09-10,8.88,10.3,-1.55,0.45,0.91,299100.0,6.0,uptrend7,6/8
SZ300299,sz300299,富春股份,互联网服务,互联网服务,2026-09-10,5.71,4.6,-0.7,-3.71,-0.52,56799.0,6.0,uptrend7,6/8
SZ300308,sz300308,中际旭创,通信设备,通信设备,2026-09-10,902.0,-2.1,-0.76,-0.04,0.39,57507.0,5.0,uptrend7,5/8
SZ300311,sz300311,任子行,计算机软件,计算机软件,2026-09-10,5.72,-5.9,3.62,1.42,0.88,252526.0,6.0,uptrend7,6/8
SZ300317,sz300317,珈伟新能,电源设备,电源设备,2026-09-10,4.33,-15.9,3.84,3.34,5.1,304069.0,5.0,uptrend7,5/8
SZ300332,sz300332,天壕能源,燃气,燃气,2026-09-10,5.33,10.8,3.7,2.7,7.24,316851.0,6.0,uptrend7,6/8
SZ300347,sz300347,泰格医药,医疗服务,医疗服务,2026-09-10,53.36,-3.5,-2.41,0.11,8.32,33409.0,5.0,uptrend7,5/8
SZ300350,sz300350,华鹏飞,物流,物流,2026-09-10,4.52,3.7,-0.44,-1.74,-0.66,31933.0,5.0,uptrend7,5/8
SZ300363,sz300363,博腾股份,化学制药,化学制药,2026-09-10,20.96,-6.3,-3.99,1.21,5.33,79307.0,5.0,uptrend7,5/8
SZ300369,sz300369,绿盟科技,计算机软件,计算机软件,2026-09-10,8.01,9.9,1.26,1.39,1.52,160910.0,6.0,uptrend7,6/8
SZ300374,sz300374,中铁装配,装修装饰,装修装饰,2026-09-10,11.32,3.3,-0.09,-1.39,0.89,5082.0,6.0,uptrend7,6/8
